date, pm25, o3, no2, co
2021/1/20, 35, , 8, 
2021/1/21, 30, 25, 3, 
2021/1/22, 15, 24, 4, 
2021/1/23, 11, 23, 7, 
2021/1/24, 19, 24, 5, 
2021/1/25, 40, 24, 6, 
2021/1/26, 57, 26, 4, 
2021/1/27, 29, 22, 9, 
2021/1/28, 23, 26, 20, 
2021/1/29, 56, 23, 8, 
2021/1/30, 57, 19, 7, 
2021/1/31, 56, 28, 3, 
2021/2/1, 48, 26, 4, 
2021/2/2, 43, 21, 16, 
2021/2/3, 52, 24, 5, 
2021/2/4, 50, 20, 5, 
2021/2/5, 39, 26, 3, 
2021/2/6, 19, 22, 7, 
2021/2/7, 15, 26, 5, 
2021/2/8, 11, 26, 5, 
2021/2/9, 16, 24, 12, 
2021/2/10, 35, 28, 7, 
2021/2/11, 33, 24, 6, 
2021/2/12, 26, , 4, 
2021/2/13, 25, , 3, 
2021/2/14, 22, , 2, 
2021/2/15, 23, , 3, 
2021/2/16, 19, , 9, 
2021/2/17, 42, , 14, 
2021/2/18, 55, , 15, 
2021/2/19, 72, , 13, 
2021/2/20, 71, , 13, 
2021/2/21, 74, , 8, 
2021/2/22, 68, , 5, 
2021/2/23, 62, , 6, 
2021/2/24, 26, , 3, 
2021/2/25, 21, 25, 13, 
2021/2/26, 36, 27, 10, 
2021/2/27, 41, 30, 5, 
2021/2/28, 41, 27, 3, 
2021/3/1, 45, 25, 7, 
2021/3/2, 37, 31, 5, 
2021/3/3, 38, 27, 10, 
2021/3/4, 39, 32, 12, 
2021/3/5, 68, 26, 9, 
2021/3/6, 54, 33, 10, 
2021/3/7, 57, 36, 4, 
2021/3/8, 58, 36, 4, 
2021/3/9, 41, 41, 4, 
2021/3/10, 68, 35, 2, 
2021/3/11, 59, 30, 4, 
2021/3/12, 32, 28, 13, 
2021/3/13, 35, 30, 10, 
2021/3/14, 51, 26, 4, 
2021/3/15, 43, 24, 3, 
2021/3/16, 26, 20, 5, 
2021/3/17, 31, 27, 4, 
2021/3/18, 62, 31, 2, 
2021/3/19, 51, 32, 7, 
2021/3/20, 32, 35, 3, 
2021/3/21, 23, 36, 2, 
2021/3/22, 27, 31, 5, 
2021/3/23, 32, 24, 6, 
2021/3/24, 37, 24, 3, 
2021/3/25, 14, 22, 5, 
2021/3/26, 10, 24, 6, 
2021/3/27, 21, 24, 2, 
2021/3/28, 16, 32, 2, 
2021/3/29, 21, 40, 2, 
2021/3/30, 41, 36, 1, 
2021/3/31, 32, 32, 1, 
2021/4/1, 14, 35, 6, 
2020/10/2, 14, 25, 6, 
2020/10/3, 24, 18, 11, 
2020/10/4, 30, 25, 5, 
2020/10/5, 24, 27, 3, 
2020/10/6, 19, 32, 5, 
2020/10/7, 28, 33, 6, 
2020/10/8, 36, 32, 7, 
2020/10/9, 30, 42, 3, 
2020/10/10, 50, 33, 5, 
2020/10/11, 51, 26, 3, 
2020/10/12, 43, 29, 3, 
2020/10/13, 21, 28, 7, 
2020/10/14, 20, 34, 15, 
2020/10/15, 21, 24, , 
2020/10/16, 15, 24, 14, 
2020/10/17, 16, 30, 3, 
2020/10/18, 23, 20, 3, 
2020/10/19, 26, 16, 4, 
2020/10/20, 28, 11, 6, 
2020/10/21, 39, 10, 5, 
2020/10/22, 39, 13, 4, 
2020/10/23, 24, 20, 1, 
2020/10/24, 16, 21, 3, 
2020/10/25, 29, 18, 2, 
2020/10/26, 30, 22, 2, 
2020/10/27, 18, 24, 4, 
2020/10/28, 25, 22, 8, 
2020/10/29, 25, 16, 4, 
2020/10/30, 22, 21, 8, 
2020/10/31, 26, 26, 3, 
2020/11/1, 22, 23, 2, 
2020/11/2, 17, 17, 8, 
2020/11/3, 23, , 7, 
2020/11/4, 31, 32, 5, 
2020/11/5, 31, 25, 17, 
2020/11/6, 45, 36, 10, 
2020/11/7, 52, 32, 3, 
2020/11/8, 42, 26, 1, 
2020/11/9, 36, 20, 2, 
2020/11/10, 26, 16, 3, 
2020/11/11, 14, 22, 5, 
2020/11/12, 20, 15, 9, 
2020/11/13, 21, , , 
2020/11/14, 14, , , 
2020/11/15, 36, , , 
2020/11/16, 15, , , 
2020/11/17, 13, , , 
2020/11/18, 25, , , 
2020/11/19, 26, , , 
2020/11/20, 31, , , 
2020/11/21, 47, , , 
2020/11/22, 49, , , 
2020/11/23, 35, , , 
2020/11/24, 23, , , 
2020/11/25, 23, , , 
2020/11/26, 21, , , 
2020/11/27, 34, , , 
2020/11/28, 32, , , 
2020/11/29, 17, , , 
2020/11/30, 13, , , 
2020/12/1, 26, , , 
2020/12/2, 34, , , 
2020/12/3, 45, , , 
2020/12/4, 30, , , 
2020/12/5, 32, , , 
2020/12/6, 51, , , 
2020/12/7, 53, , , 
2020/12/8, 47, , , 
2020/12/9, 39, , , 
2020/12/10, 36, , , 
2020/12/11, 50, , , 
2020/12/12, 37, , , 
2020/12/13, 12, , , 
2020/12/14, 19, , , 
2020/12/15, 21, , , 
2020/12/16, 29, , , 
2020/12/17, 52, , , 
2020/12/18, 64, , , 
2020/12/19, 50, , , 
2020/12/20, 43, , , 
2020/12/21, 33, , , 
2020/12/22, 11, , , 
2020/12/23, 29, , , 
2020/12/24, 24, , , 
2020/12/25, 7, , , 
2020/12/26, 18, , , 
2020/12/27, 26, , , 
2020/12/28, 38, , , 
2020/12/29, 23, , , 
2020/12/30, 19, , 3, 
2020/12/31, 23, , 5, 
2021/1/1, 32, , 5, 
2021/1/2, 56, , 17, 
2021/1/3, 71, , 16, 
2021/1/4, 79, , 5, 
2020/7/2, 33, 33, 4, 
2020/7/3, 39, 42, 5, 
2020/7/4, 63, 47, 5, 
2020/7/5, 162, 40, 9, 
2020/7/6, 212, 43, 3, 
2020/7/7, 88, 38, 3, 
2020/7/8, 57, 36, 3, 
2020/7/9, 56, 32, 3, 
2020/7/10, 42, 38, 3, 
2020/7/11, 28, 45, 3, 
2020/7/12, 29, 29, 2, 
2020/7/13, 21, 33, 4, 
2020/7/14, 28, 30, 3, 
2020/7/15, 38, 23, 3, 
2020/7/16, 27, 34, 3, 
2020/7/17, 19, 28, 3, 
2020/7/18, 41, 27, 1, 
2020/7/19, 61, 29, 1, 
2020/7/20, 46, 25, 4, 
2020/7/21, 20, 31, 3, 
2020/7/22, 23, 28, 2, 
2020/7/23, 20, 27, 4, 
2020/7/24, 20, 23, 2, 
2020/7/25, 25, 24, 1, 
2020/7/26, 30, 23, 1, 
2020/7/27, 26, 27, 4, 
2020/7/28, 17, 28, 5, 
2020/7/29, 20, 29, 3, 
2020/7/30, 27, 30, 2, 
2020/7/31, 28, 26, 3, 
2020/8/1, 28, 29, 5, 
2020/8/2, 31, 23, 1, 
2020/8/3, 21, 20, 1, 
2020/8/4, 15, 28, 4, 
2020/8/5, 18, 26, 5, 
2020/8/6, 21, 25, 3, 
2020/8/7, 25, 28, 2, 
2020/8/8, 32, 35, 1, 
2020/8/9, 30, 33, 1, 
2020/8/10, 37, 28, 3, 
2020/8/11, 33, 30, 6, 
2020/8/12, 48, 27, 3, 
2020/8/13, 38, 28, 3, 
2020/8/14, 42, 31, 3, 
2020/8/15, 45, 32, 3, 
2020/8/16, 42, 34, 5, 
2020/8/17, 34, 26, 2, 
2020/8/18, 26, 29, 3, 
2020/8/19, 22, 27, 6, 
2020/8/20, 26, 32, 3, 
2020/8/21, 25, 33, 3, 
2020/8/22, 30, 37, 3, 
2020/8/23, 42, 43, 3, 
2020/8/24, 48, 43, 4, 
