date, pm25, pm10, o3, no2
2021/4/29, 34, 13, 36, 7
2021/4/30, 18, 12, 39, 6
2021/5/1, 30, 10, 41, 1
2021/5/2, 37, 8, 41, 3
2021/5/3, 29, 16, 42, 6
2021/5/4, 22, 24, 37, 7
2021/5/5, 21, 13, 34, 1
2021/5/6, 17, 9, 33, 4
2021/5/7, 21, 10, 31, 4
2021/5/8, 18, 9, 38, 4
2021/5/9, 21, 11, 30, 3
2021/5/10, 27, 12, 34, 5
2021/5/11, 16, 10, 35, 3
2021/5/12, 19, 13, 36, 4
2021/5/13, 20, 10, 30, 2
2021/5/14, 22, 9, 35, 1
2021/5/15, 18, 2, 30, 1
2021/5/16, 9, 12, 31, 1
2021/5/17, 18, 17, 33, 2
2021/5/18, 32, 12, 33, 6
2021/5/19, 28, 10, 32, 4
2021/5/20, 14, 15, 33, 6
2021/5/21, 17, 13, 29, 4
2021/5/22, 23, 8, 31, 2
2021/5/23, 21, 8, 34, 1
2021/5/24, 17, 12, 35, 2
2021/5/25, 24, 20, 32, 3
2021/5/26, 34, 22, 31, 5
2021/5/27, 43, 14, 39, 4
2021/5/28, 25, 18, 47, 7
2021/5/29, 29, 10, 36, 3
2021/5/30, 24, 8, 41, 2
2021/5/31, 26, 16, 43, 7
2021/6/1, 24, 15, 34, 5
2021/6/2, 36, 20, 43, 4
2021/6/3, 46, 16, 34, 5
2021/6/4, 43, 6, 31, 4
2021/6/5, 22, 10, 37, 2
2021/6/6, 20, 7, 39, 1
2021/6/7, 18, 14, 43, 5
2021/6/8, 22, 11, 45, 5
2021/6/9, 27, 22, 47, 6
2021/6/10, 29, 12, 34, 2
2021/6/11, 22, 20, 42, 4
2021/6/12, 33, 17, 45, 3
2021/6/13, 44, 13, 42, 3
2021/6/14, 38, 17, 43, 3
2021/6/15, 28, 23, 49, 8
2021/6/16, 35, 20, 46, 11
2021/6/17, 47, 12, 31, 6
2021/6/18, 37, 10, 34, 4
2021/6/19, 24, 5, 29, 3
2021/6/20, 19, 5, 32, 2
2021/6/21, 17, 10, 26, 3
2021/6/22, 13, 9, 25, 3
2021/6/23, 13, 12, 26, 5
2021/6/24, 20, 8, 31, 1
2021/6/25, 29, 14, 35, 4
2021/6/26, 29, 9, 38, 3
2021/6/27, 27, 3, 22, 1
2021/6/28, 13, 8, 29, 4
2021/6/29, 20, 7, 29, 3
2021/6/30, 13, 11, 30, 4
2021/7/1, 21, 11, 33, 3
2021/1/5, 57, 22, 9, 8
2021/1/6, 88, 32, 6, 11
2021/1/7, 103, 31, 12, 10
2021/1/8, 100, 29, 13, 13
2021/1/9, 98, 19, 15, 7
2021/1/10, 61, 11, 20, 3
2021/1/11, 49, 26, 20, 13
2021/1/12, 65, 20, 24, 13
2021/1/13, 45, 5, 26, 8
2021/1/14, 18, 7, 28, 9
2021/1/15, 16, 14, 24, 6
2021/1/16, 31, 26, 21, 11
2021/1/17, 72, 21, 27, 5
2021/1/18, 35, 43, 19, 16
2021/1/19, 105, 27, 12, 15
2021/1/20, 71, 14, 22, 6
2021/1/21, 39, 9, 30, 10
2021/1/22, 21, 9, 29, 6
2021/1/23, 23, 10, 29, 3
2021/1/24, 28, 5, 30, 3
2021/1/25, 15, 14, 27, 12
2021/1/26, 30, 17, 19, 12
2021/1/27, 59, 12, 20, 11
2021/1/28, 26, 9, 19, 6
2021/1/29, 20, 24, 28, 4
2021/1/30, 39, 15, 32, 2
2021/1/31, 40, 9, 32, 1
