date, pm25, pm10, o3, no2, so2
2020/4/1, , 19, , , 1
2019/10/2, , 28, 22, 1, 1
2019/10/3, , 22, 22, 1, 1
2019/10/4, , 19, 21, 3, 1
2019/10/5, , 14, 22, 2, 1
2019/10/6, , 17, , , 
2019/10/8, , 18, 22, 2, 2
2019/10/9, , 47, 23, 3, 1
2019/10/10, , 34, 22, 6, 1
2019/10/11, , 41, 24, 2, 1
2019/10/12, , 25, 23, 1, 1
2019/10/13, , 23, 19, 5, 2
2019/10/14, , 47, 17, 3, 2
2019/10/15, , 57, 13, 3, 1
2019/10/16, , 38, 13, 4, 1
2019/10/17, , 33, 19, 2, 1
2019/10/18, , 30, 19, 1, 1
2019/10/19, , 25, 19, , 1
2019/10/20, , 21, 17, 1, 1
2019/10/21, , 20, 19, 1, 1
2019/10/22, , 18, 18, 6, 2
2019/10/23, , 34, 17, 2, 1
2019/10/24, , 42, 21, 2, 1
2019/10/25, , 26, , , 
2019/10/27, , 39, 19, 3, 1
2019/10/28, , 24, 20, 2, 1
2019/10/29, , 24, 19, 1, 1
2019/10/30, , 19, 21, 1, 1
2019/10/31, , 13, 21, 5, 1
2019/11/1, , 29, 22, 4, 2
2019/11/2, , 27, 17, 1, 1
2019/11/3, , 16, 15, 4, 1
2019/11/4, , 22, 15, 5, 2
2019/11/5, , 31, 15, 4, 2
2019/11/6, , 57, 18, 2, 2
2019/11/7, , 120, 17, 3, 2
2019/11/8, , 56, 17, 4, 1
2019/11/9, , 46, 17, 4, 2
2019/11/10, , 47, 16, 4, 2
2019/11/11, , 48, 16, 3, 2
2019/11/12, , 38, 17, 3, 2
2019/11/13, , 38, 13, 3, 1
2019/11/14, , 50, 12, 4, 1
2019/11/15, , 45, 16, 1, 1
2019/11/16, , 32, 14, 2, 1
2019/11/17, , 22, 20, 2, 1
2019/11/18, , 41, 14, 3, 2
2019/11/19, , 39, 16, 3, 2
2019/11/20, , 23, 16, 4, 2
2019/11/21, , 24, 18, 5, 3
2019/11/22, , 30, 16, 4, 4
2019/11/23, , 25, 17, 3, 2
2019/11/24, , 40, 15, 7, 4
2019/11/25, , 41, 10, 7, 5
2019/11/26, , 43, 10, 4, 3
2019/11/27, , 40, 14, 2, 1
2019/11/28, , 49, 15, 4, 1
2019/11/29, , 42, 15, 7, 2
2019/11/30, , 45, 10, 6, 3
2019/12/1, , 35, 12, 2, 1
2019/12/2, , 23, 13, 1, 1
2019/12/3, , 11, 12, 1, 1
2019/12/4, , 10, 12, 3, 1
