date, pm25, pm10, o3, no2, so2
2020/1/8, 28, 18, 27, 8, 
2020/1/9, 44, 8, 25, 6, 
2020/1/10, 24, 9, 26, 12, 
2020/1/11, 26, 5, 30, 2, 
2020/1/12, 13, 3, 30, 3, 
2020/1/13, 9, 6, 32, 3, 
2020/1/14, 15, 8, 32, 3, 
2020/1/15, 19, 11, 29, 5, 
2020/1/16, 19, 9, 31, 4, 
2020/1/17, 22, 5, 27, 7, 
2020/1/18, 14, 12, 23, 9, 
2020/1/19, 27, 18, 10, 20, 
2020/1/20, 57, 15, 12, 16, 
2020/1/21, 46, 14, 15, 17, 
2020/1/22, 41, 16, 11, 16, 
2020/1/23, 52, 13, 9, 13, 
2020/1/24, 48, 12, 12, 12, 
2020/1/25, 41, 23, 15, 7, 
2020/1/26, 61, 13, 20, 5, 
2020/1/27, 38, 7, 28, 8, 
2020/1/28, 17, 6, 29, 5, 
2020/1/29, 13, 10, 30, 4, 
2020/1/30, 22, 4, 26, 4, 
2020/1/31, 12, 3, 25, 3, 
2020/2/1, 8, 12, 33, 1, 
2020/2/2, 30, 13, 33, 2, 
2020/2/3, 34, 11, 32, 4, 
2020/2/4, 25, 14, 32, 5, 
2020/2/5, 31, 21, 23, 14, 
2020/2/6, 47, 22, 18, 16, 
2020/2/7, 61, 25, 17, 12, 
2020/2/8, 74, , 30, 3, 
2020/2/11, 13, 8, 33, 2, 
2020/2/12, 19, 9, 30, 6, 
2020/2/13, 20, 6, 30, 6, 
2020/2/14, 16, 9, 24, 5, 
2020/2/15, 28, 3, 30, 1, 
2020/2/16, 10, 6, 34, 1, 
2020/2/17, 14, 9, 33, 2, 
2020/2/18, 21, 9, 30, 3, 
2020/2/19, 20, 10, 32, 5, 
2020/2/20, 23, 4, 32, 2, 
2020/2/21, 10, 11, 33, 2, 
2020/2/22, 26, 8, 33, 1, 
2020/2/23, 20, 4, 31, 4, 
2020/2/24, 11, 3, 29, 2, 
2020/2/25, 8, 4, 29, 4, 
2020/2/26, 10, 6, 30, 5, 
2020/2/27, 15, 8, 30, 8, 
2020/2/28, 21, 5, 23, 5, 
2020/2/29, 14, 6, 34, 1, 
2020/3/1, 13, 10, 33, 1, 
2020/3/2, 22, 8, 29, 10, 
2020/3/3, 23, 12, 22, 8, 
2020/3/4, 26, 9, 20, 12, 
2020/3/5, 25, 13, 20, 10, 
2020/3/6, 44, 19, 24, 18, 
2020/3/7, 54, 11, 28, 4, 
2020/3/8, 33, 6, 30, 1, 
2020/3/9, 16, 9, 25, 3, 
2020/3/10, 23, 4, 25, 2, 
2020/3/11, 9, 9, 30, 3, 
