date, pm25, o3, no2, co
2020/4/29, 55, , , 
2020/4/30, 55, , , 
2020/5/1, 43, , , 
2020/5/2, 60, , , 
2020/5/3, 56, , , 
2020/5/4, 63, , , 
2020/5/5, 48, , , 
2020/5/6, 61, , , 
2020/5/7, 60, , , 
2020/5/8, 67, , , 
2020/5/9, 54, , , 
2020/5/10, 41, , , 
2020/5/11, 52, , , 
2020/5/12, 57, , , 
2020/5/13, 56, , , 
2020/5/18, 59, , , 
2020/5/19, 66, , , 
2020/5/20, 91, , , 
2020/5/21, 62, , , 
2020/5/22, 75, , , 
2020/5/23, 81, , , 
2020/5/24, 85, , , 
2020/5/25, 73, , , 
2020/5/26, 79, , , 
2020/5/27, 79, , , 
2020/5/28, 75, , , 
2020/5/29, 70, , , 
2020/5/30, 74, , , 
2020/5/31, 82, , , 
2020/6/1, 78, , , 
2020/6/2, 80, , , 
2020/6/3, 100, , , 
2020/6/4, 100, , , 
2020/6/5, 78, , , 
2020/6/6, 60, , , 
2020/6/7, 69, , , 
2020/6/8, 91, , , 
2020/6/9, 100, , , 
2020/6/10, 72, , , 
2020/6/11, 83, , , 
2020/6/12, 76, , , 
2020/6/13, 88, , , 
2020/6/14, 62, , , 
2020/6/15, 63, , , 
2020/6/16, 59, , , 
2020/6/17, 62, , , 
2020/6/18, 91, , , 
2020/6/19, 78, , , 
2020/6/20, 93, , , 
2020/6/21, 98, , , 
2020/6/22, 58, , , 
2020/6/23, 68, , , 
2020/6/24, 84, , , 
2020/6/25, 82, , , 
2020/6/26, 102, , , 
2020/6/27, 72, , , 
2020/6/28, 142, , , 
2020/6/29, 121, , , 
2020/6/30, 93, , , 
2020/7/1, 106, , , 
2020/1/2, 94, , , 27
2020/1/3, 108, , , 26
2020/1/4, 130, , , 30
2020/1/5, 94, , , 
2020/1/6, 87, , , 17
2020/1/7, 65, , , 16
2020/1/8, 98, , , 
2020/1/9, 118, , , 
2020/1/10, 107, , , 
2020/1/11, 67, , , 
2020/1/12, 63, , , 
2020/1/13, 76, , , 
2020/1/14, 76, , , 
2020/1/15, 68, , , 
2020/1/16, 66, , , 
2020/1/17, 94, , , 
2020/1/18, 105, , , 
2020/1/19, 103, , , 
2020/1/20, 85, , , 
2020/1/21, 75, , , 
2020/1/22, 97, , , 
2020/1/23, 90, , , 
2020/1/24, 62, , , 
2020/1/25, 68, , , 
2020/1/26, 87, , , 
2020/1/27, 78, , , 
2020/1/28, 84, , , 
2020/1/29, 111, , , 
2020/1/30, 142, , , 
2020/1/31, 93, , , 
2020/2/1, 88, , , 
2020/2/2, 90, , , 
2020/2/3, 66, , , 
2020/2/4, 53, , , 
2020/2/5, 70, , , 
2020/2/6, 72, , , 
2020/2/7, 86, , , 28
2020/2/8, 93, , , 29
2020/2/9, 91, , , 30
2020/2/10, 67, , , 34
2020/2/11, 59, , , 33
2020/2/12, 50, , , 22
2020/2/13, 53, , , 27
2020/2/14, 75, , , 39
2020/2/15, 101, , , 41
2020/2/16, 115, , , 44
2020/2/17, 138, , , 47
2020/2/18, 103, , , 51
2020/2/19, 88, , , 51
2020/2/20, 119, , , 48
2020/2/21, 74, , , 47
2020/2/22, 91, , , 52
2020/2/23, 116, , , 49
2020/2/24, 72, , , 54
2020/2/25, 115, , , 
2019/10/2, 111, 13, , 
2019/10/3, 102, 12, , 
2019/10/4, 102, 12, , 
2019/10/5, 78, 14, , 
2019/10/6, 69, 14, , 
2019/10/7, 86, , , 
2019/10/8, 93, , , 
2019/10/9, 78, , , 
2019/10/10, 96, , , 
2019/10/11, 104, , , 
2019/10/12, 86, , , 
2019/10/14, 87, , , 21
2019/10/15, 81, , , 17
2019/10/16, 75, , , 23
2019/10/17, 73, , , 32
2019/10/18, 92, , , 53
2019/10/22, 66, , , 25
2019/10/23, 85, , , 22
2019/10/24, 104, , , 
2019/10/25, 84, , , 29
2019/10/26, 103, , , 26
2019/10/27, 80, , , 32
2019/10/28, 67, , , 23
2019/10/29, 65, , , 32
2019/10/30, 65, , , 29
2019/10/31, 79, , , 31
2019/11/1, 73, , , 40
2019/11/2, 87, , , 47
2019/11/3, 100, , , 61
2019/11/4, 96, , , 54
2019/11/5, 90, , , 37
2019/11/6, 76, , , 46
2019/11/7, 108, , , 43
2019/11/8, 115, , , 48
2019/11/9, 95, , , 36
2019/11/10, 82, , , 47
2019/11/11, 80, , , 50
2019/11/12, 74, , , 56
2019/11/13, 99, , , 65
2019/11/14, 127, , , 65
2019/11/15, 131, , , 55
2019/11/16, 134, , , 35
2019/11/17, 95, , , 
2019/11/26, 145, , , 21
2019/11/27, 153, , , 30
2019/11/28, 138, , , 37
2019/11/29, 152, , , 44
2019/11/30, 138, , , 46
2019/12/1, 112, , , 58
2019/12/2, 144, , , 42
2019/12/3, 149, , , 35
2019/12/4, 119, , , 28
2019/12/5, 66, , , 38
2019/12/6, 70, , , 39
2019/12/7, 102, , , 29
2019/12/8, 85, , , 23
2019/12/9, 70, , , 23
2019/12/10, 68, , , 21
2019/12/11, 106, , , 23
2019/12/12, 107, , , 27
2019/12/13, 67, , , 29
2019/12/14, 108, , , 
2019/12/15, 90, , , 
2019/12/16, 144, , , 
2019/12/17, 146, , , 
2019/12/18, 89, , , 
2019/12/19, 75, , , 
2019/12/20, 68, , , 
2019/12/21, 71, , , 
2019/12/22, 108, , , 
2019/12/23, 149, , , 
2019/12/24, 144, , , 
2019/12/25, 98, , , 
2019/12/26, 122, , , 
2019/12/29, 82, , , 
2019/12/30, 92, , , 
2019/7/9, 111, 21, , 41
2019/7/10, 83, 18, , 47
2019/7/11, 80, 18, , 
2019/7/12, 120, 15, , 
2019/7/13, 117, 16, , 
2019/7/14, 97, 17, , 60
2019/7/15, 84, 16, , 58
2019/7/16, 87, 15, , 61
2019/7/17, 97, 14, , 61
2019/7/18, 98, 15, , 63
2019/7/19, 87, 16, , 66
2019/7/20, 75, 17, , 76
2019/7/21, 73, 15, , 71
2019/7/22, 88, 14, , 69
2019/7/23, 81, 13, , 71
2019/7/24, 81, 18, , 73
2019/7/25, 80, 18, , 76
2019/7/26, 86, 17, , 79
2019/7/27, 95, 15, , 75
2019/7/28, 96, 17, , 77
2019/7/29, 89, 17, , 78
2019/7/30, 82, 20, , 80
2019/7/31, 61, 21, , 81
2019/8/1, 85, 15, , 83
2019/8/2, 98, 16, , 78
2019/8/3, 84, 15, , 80
2019/8/4, 85, 15, , 79
2019/8/5, 92, 17, , 79
2019/8/6, 81, 17, , 90
2019/8/7, 97, 15, , 78
2019/8/8, 126, 13, , 74
2019/8/9, 124, 14, , 74
2019/8/10, 93, 15, , 75
2019/8/11, 95, 15, , 78
2019/8/12, 98, 14, , 81
2019/8/13, 96, 14, , 75
2019/8/14, 88, 13, , 72
2019/8/15, 96, 12, , 70
2019/8/16, 89, 15, , 73
