date, pm25, o3, no2, so2, co
2018/10/11, 42, 11, 13, , 
2018/10/12, 38, 8, 6, , 
2018/10/13, 28, 12, 2, , 
2018/10/14, 10, 12, 5, , 
2018/10/15, 19, 12, 5, , 
2018/10/16, 18, 12, 9, , 11
2018/10/17, 22, 11, 9, , 
2018/10/18, 26, 14, 8, , 
2018/10/19, 41, 12, 4, , 
2018/10/20, 26, 12, 10, , 
2018/10/21, 26, 14, 5, , 
2018/10/22, 21, 11, 15, , 
2018/10/23, 32, 12, 8, , 
2018/10/24, 43, 9, 10, 1, 
2018/10/25, 52, 6, 11, , 
2018/10/26, 67, 4, 9, , 11
2018/10/27, 69, 13, 9, , 
2018/10/28, 37, 10, 6, , 
2018/10/29, 29, 11, 5, , 
2018/10/30, 22, 12, 5, , 
2018/10/31, 25, 9, 10, , 
2018/11/1, 43, 6, 8, , 
2018/11/2, 41, 9, 5, , 
2018/11/3, 17, 8, 4, , 
2018/11/4, 22, 6, 4, , 
2018/11/5, 21, 11, 3, , 
2018/11/6, 10, 11, 8, , 
2018/11/7, 12, 10, 8, , 
2018/11/8, 28, 10, 8, , 
2018/11/9, 33, 11, 8, , 
2018/11/10, 30, 10, 7, , 
2018/11/11, 45, 14, 5, , 
2018/11/12, 18, 12, 9, , 
2018/11/13, 27, 7, 15, , 
2018/11/14, 49, 3, 17, , 11
2018/11/15, 59, 9, 12, , 11
2018/11/16, 60, 12, 9, , 
2018/11/17, 23, 8, 13, , 
2018/11/18, 37, 9, 7, , 
2018/11/19, 52, 8, 11, , 
2018/11/20, 45, 7, 12, , 13
2018/11/21, 68, 6, 8, , 
2018/11/22, 57, 8, 12, , 
2018/11/23, 39, 8, 11, , 
2018/11/24, 65, 9, 4, , 
2018/11/25, 18, 8, 7, , 
2018/11/26, 29, 8, 6, , 
2018/11/27, 33, 8, 6, , 
2018/11/28, 50, 9, 10, , 
2018/11/29, 43, 5, 9, , 
2018/11/30, 46, 5, 9, , 
2018/12/1, 39, 7, 5, , 
2018/12/2, 31, , , , 
2018/12/4, 51, 11, 7, , 
2018/12/5, 27, 9, 8, , 
2018/12/6, 25, 11, 11, , 
2018/12/7, 34, 8, 17, , 
2018/12/8, 52, 7, 18, , 
2018/12/9, 66, 9, 15, , 
2018/12/10, 52, 8, 19, , 
2018/12/11, 41, 10, 14, , 
2018/12/12, 42, 10, 13, , 
2018/12/13, 23, 9, 14, , 
2018/12/14, 15, 11, 13, , 
2018/12/15, 11, 13, 6, , 
2018/12/16, 11, 12, 6, , 
2018/12/17, 24, 9, 11, , 
2018/12/18, 21, 135, 79, 137, 
2018/12/19, 23, 8, 13, , 11
2018/12/20, 51, 7, 16, , 
2018/12/21, 31, 11, 6, , 
2018/12/22, 14, 11, 5, , 
2018/12/23, 20, 85, 56, 147, 
2018/12/24, 35, 11, 4, , 
2018/12/25, 19, 9, 10, , 
2018/12/26, 29, 9, 11, , 
2018/12/27, 53, 8, 9, , 
2018/12/28, 30, 7, 12, , 
2018/12/29, 34, 9, 8, , 
2018/12/30, 26, 12, 3, , 
2018/12/31, 18, , , , 
2018/7/2, 17, 14, 4, , 
2018/7/3, 15, 17, 5, , 
2018/7/4, 12, 11, 5, , 
2018/7/5, 19, 15, 4, , 
2018/7/6, 24, 19, 4, , 
2018/7/7, 29, 18, 3, , 
2018/7/8, 31, 11, 2, , 
2018/7/9, 18, 13, 5, , 
2018/7/10, 24, 15, 4, , 
2018/7/11, 38, 15, 2, , 
2018/7/12, 24, 13, 3, , 
2018/7/13, 37, 18, 6, , 
2018/7/14, 36, 13, 2, , 
2018/7/15, 22, 11, 2, , 
2018/7/16, 17, 11, 3, , 
2018/7/17, 22, 19, 4, 1, 
2018/7/18, 27, 15, 4, , 
2018/7/19, 48, 13, 3, , 
2018/7/20, 39, 14, 3, 1, 
2018/7/21, 33, 13, 1, 1, 
2018/7/22, 36, 15, 1, , 
2018/7/23, 25, 11, 1, , 
2018/7/24, 23, 11, 2, , 
