date, pm25, pm10, no2, co
2020/11/13, 98, , 28, 8
2020/11/17, 66, 11, 11, 2
2020/11/18, 29, 16, 11, 3
2020/11/19, 38, 27, 24, 8
2020/11/20, 65, 20, 21, 5
2020/11/21, 46, 8, 3, 1
2020/11/22, 22, 13, 6, 1
2020/11/23, 40, 25, 19, 7
2020/11/24, 65, 23, 19, 5
2020/11/25, 61, 27, 20, 6
2020/11/26, 75, 34, 26, 10
2020/11/27, 83, 46, 32, 15
2020/11/28, 111, 28, 22, 7
2020/11/29, 80, 12, 10, 3
2020/11/30, 42, 15, 15, 3
2020/12/1, 48, 22, 25, 7
2020/12/2, 56, 14, 21, 5
2020/12/3, 43, 18, 22, 6
2020/12/4, 52, 21, 24, 8
2020/12/5, 51, 19, 17, 3
2020/12/6, 32, 15, 13, 3
2020/12/7, 31, 12, 23, 6
2020/12/8, 33, 16, 7, 3
2020/12/9, 24, 15, 24, 9
2020/12/10, 38, 15, 23, 7
2020/12/11, 41, 15, 23, 4
2020/12/12, 45, 27, 28, 9
2020/12/13, 75, 22, 21, 6
2020/12/14, 66, 22, 28, 8
2020/12/15, 65, 38, 38, 17
2020/12/16, 92, 41, 38, 20
2020/12/17, 98, 52, 38, 19
2020/12/18, 123, 53, 40, 20
2020/12/19, 122, 47, 37, 18
2020/12/20, 119, 38, 28, 11
2020/12/21, 98, 37, 29, 12
2020/12/22, 94, 46, 36, 22
2020/12/23, 112, 44, 34, 18
2020/12/24, 103, 19, 17, 8
2020/12/25, 54, 15, 9, 3
2020/12/26, 36, 14, 12, 3
2020/12/27, 43, 15, 12, 4
2020/12/28, 44, 16, 7, 2
2020/12/29, 23, 16, 19, 7
2020/12/30, 29, 15, 17, 5
2020/12/31, 39, 23, 23, 8
2021/1/1, 57, 105, 22, 5
2021/1/2, 189, 17, 11, 2
2021/1/3, 25, 11, 12, 2
2021/1/4, 24, 17, 26, 9
2020/7/2, 63, 28, 18, 5
2020/7/3, 62, 21, 23, 5
2020/7/4, 54, 18, 17, 4
2020/7/5, 35, , 10, 2
2020/7/7, 76, 27, 14, 3
2020/7/8, 69, 25, 12, 2
2020/7/9, 59, 24, 20, 5
2020/7/10, 60, 31, 27, 6
2020/7/11, 70, 24, 14, 4
2020/7/12, 57, 22, 10, 3
2020/7/13, 57, 24, 6, 2
2020/7/14, 59, 23, 14, 4
2020/7/15, 59, 20, 14, 4
2020/7/16, 50, 23, 14, 4
2020/7/17, 53, 22, 12, 4
2020/7/18, 48, 20, 9, 2
2020/7/19, 57, 17, 7, 2
2020/7/20, 43, 20, 19, 5
2020/7/21, 51, 27, 18, 4
2020/7/22, 59, 33, 29, 6
2020/7/23, 79, 26, 19, 6
2020/7/24, 60, 20, 16, 5
2020/7/25, 55, 18, 11, 3
2020/7/26, 49, 18, 10, 2
2020/7/27, 54, 29, 25, 5
2020/7/28, 67, 29, 27, 6
2020/7/29, 68, 31, 27, 6
2020/7/30, 73, 28, 26, 6
2020/7/31, 62, 23, 16, 5
2020/8/1, 56, 27, 4, 5
2020/8/2, 54, 32, 7, 5
2020/8/3, 74, 29, 11, 6
2020/8/4, 64, 28, 14, 5
2020/8/5, 49, 23, 15, 4
2020/8/6, 45, 16, 14, 4
2020/8/7, 44, 24, 22, 23
2020/8/8, 63, 21, 17, 4
2020/8/9, 59, 22, 10, 2
2020/8/10, 62, 37, 32, 5
2020/8/11, 82, 30, 28, 5
2020/8/12, 71, 30, 26, 4
