date, pm25, o3, so2
2018/6/8, 28, 29, 
2018/6/9, 16, 44, 
2018/6/10, 36, 33, 
2018/6/11, 32, 41, 
2018/6/12, 29, 41, 1
2018/6/13, 43, 36, 1
2018/6/14, 28, 49, 1
2018/6/15, 42, 49, 1
2018/6/16, 23, 44, 1
2018/6/17, 39, 36, 1
2018/6/18, 49, 24, 1
2018/6/19, 13, 21, 1
2018/6/20, 26, 27, 1
2018/6/21, 27, 27, 1
2018/6/22, 25, 34, 1
2018/6/23, 14, 36, 1
2018/6/24, 29, 36, 1
2018/6/25, 28, 27, 1
2018/6/26, 31, 33, 1
2018/6/27, 25, 40, 2
2018/6/28, 34, 49, 1
2018/6/29, 33, 44, 1
2018/6/30, 36, 32, 1
2018/7/1, 35, 33, 1
2018/1/2, 25, , 2
2018/1/3, 33, , 2
2018/1/4, 29, , 6
2018/1/5, 18, , 8
2018/1/6, 21, , 1
2018/1/7, 22, , 3
2018/1/8, 44, , 1
2018/1/9, 45, , 1
2018/1/10, 47, , 
2018/1/11, 51, , 1
2018/1/12, 21, , 2
2018/1/13, 16, , 
2018/1/14, 18, , 2
2018/1/15, 34, , 
2018/1/16, 30, , 
2018/1/17, 30, , 1
2018/1/18, 40, , 5
2018/1/19, 46, , 3
2018/1/20, 49, , 1
2018/1/21, 57, , 3
2018/1/22, 76, , 
2018/1/23, 33, , 2
2018/1/24, 15, , 2
2018/1/25, 21, , 
2018/1/26, 46, , 
2018/1/27, 44, , 2
2018/1/28, 34, , 2
2018/1/29, 25, , 1
2018/1/30, 18, , 
2018/1/31, 21, , 2
2018/2/1, 27, , 
2018/2/2, 19, , 2
2018/2/3, 16, , 
2018/2/4, 22, , 1
2018/2/5, 14, , 1
2018/2/6, 29, , 1
2018/2/7, 39, , 1
2018/2/8, 45, , 2
2018/2/9, 55, , 
2018/2/10, 38, , 5
2018/2/11, 42, , 1
2018/2/12, 46, , 1
2018/2/13, 38, , 2
2018/2/14, 46, , 3
2018/2/15, 69, , 1
2018/2/16, 47, , 1
2018/2/17, 17, , 1
2018/2/18, 21, , 
2018/2/19, 40, , 
2018/2/20, 39, , 
2018/2/21, 21, , 
2018/2/22, 15, , 
2018/2/23, 26, , 
2018/2/24, 26, , 
2018/2/25, 21, , 2
2018/2/26, 26, , 3
2018/2/27, 27, , 1
2018/2/28, 36, , 
2018/3/1, 33, , 
2018/3/2, 24, , 2
2018/3/3, 30, , 
2018/3/4, 21, , 
2018/3/5, 17, , 
2018/3/6, 14, , 
2018/3/7, 18, , 1
2018/3/8, 13, , 
2018/3/9, 9, , 
2018/3/10, 13, , 
2018/3/11, 17, , 1
2018/3/12, 27, , 2
2018/3/13, 28, , 1
2018/3/14, 21, , 2
2018/3/15, 25, , 
2018/3/16, 23, , 1
2018/3/17, 19, , 1
2018/3/18, 26, , 1
2018/3/19, 26, , 
2018/3/20, 10, , 
2018/3/21, 13, , 
2018/3/22, 16, , 7
2018/3/23, 18, , 
2018/3/24, 22, , 
2018/3/25, 12, , 
2018/3/26, 12, , 
2018/3/27, 69, , 
2018/3/28, 29, , 1
2018/3/29, 46, , 
2018/3/30, 31, , 1
2018/3/31, 25, , 1
2018/4/1, 21, , 
2017/10/2, 14, , 
2017/10/3, 23, , 
2017/10/4, 30, , 
2017/10/5, 11, , 
2017/10/6, 15, , 1
2017/10/7, 13, , 
2017/10/8, 34, , 2
2017/10/9, 18, , 
2017/10/10, 25, , 
2017/10/11, 7, , 
2017/10/12, 13, , 
2017/10/13, 13, , 1
2017/10/14, 31, , 
2017/10/15, 15, , 
2017/10/16, 8, , 1
2017/10/17, 19, , 
2017/10/18, 17, , 2
2017/10/19, 19, , 1
2017/10/20, 18, , 1
2017/10/21, 42, , 1
2017/10/22, 46, , 1
2017/10/23, 22, , 1
2017/10/24, 23, , 
2017/10/28, 13, , 1
2017/10/29, 9, , 1
2017/10/30, 16, , 1
2017/10/31, 19, , 3
2017/11/1, 12, , 1
2017/11/2, 25, , 1
2017/11/3, 38, , 1
2017/11/4, 17, , 
2017/11/5, 17, , 1
2017/11/6, 20, , 1
2017/11/7, 18, , 1
2017/11/8, 26, , 1
2017/11/9, 47, , 1
2017/11/10, 26, , 2
2017/11/11, 13, , 
2017/11/12, 33, , 6
2017/11/13, 58, , 1
2017/11/14, 53, , 4
2017/11/15, 61, , 
2017/11/16, 39, , 1
2017/11/17, 10, , 
2017/11/18, 32, , 1
2017/11/19, 24, , 1
2017/11/20, 23, , 1
2017/11/21, 29, , 2
2017/11/22, 21, , 1
2017/11/23, 16, , 
2017/11/24, 34, , 1
2017/11/25, 22, , 6
2017/11/26, 15, , 1
2017/11/27, 27, , 
2017/11/28, 39, , 3
2017/11/29, 25, , 4
