date, pm25, o3, no2, so2, co
2021/3/9, 74, , , 4, 
2021/3/10, 55, , , , 
2021/3/11, 74, , , , 
2021/3/12, 77, , , , 
2021/3/13, 57, , , , 
2021/3/14, 48, , , , 
2021/3/15, 78, , , , 
2021/3/16, 84, , , , 
2021/3/17, 116, , , , 
2021/3/18, 154, , , , 
2021/3/19, 91, , , , 
2021/3/20, 44, , , , 
2021/3/21, 52, , , , 
2021/3/22, 41, , , , 
2021/3/23, 59, , , , 
2021/3/24, 72, , , , 
2021/3/25, 70, , , , 
2021/3/26, 83, , , , 
2021/3/27, 40, , , , 
2021/3/28, 46, , , , 
2021/3/29, 48, , , , 
2021/3/30, 59, , , , 
2021/3/31, 51, , , , 
2021/4/1, 54, , , , 
2020/10/2, 64, , , 13, 
2020/10/3, 82, , , 17, 
2020/10/4, 84, , , 17, 
2020/10/5, 61, , , 17, 
2020/10/6, 40, , , 13, 
2020/10/7, 21, , , , 
2020/10/8, 32, , , , 
2020/10/9, 39, , , 9, 
2020/10/10, 41, , , , 
2020/10/11, 55, , , , 
2020/10/12, 67, , , , 
2020/10/13, 75, , , , 
2020/10/14, 74, , , , 
2020/10/15, 81, , , , 
2020/10/16, 76, , , , 
2020/10/17, 62, , , , 
2020/10/18, 72, , , , 
2020/10/19, 80, , , , 
2020/10/20, 88, , , , 
2020/10/21, 89, , , , 
2020/10/22, 76, , , , 
2020/10/23, 61, , , , 
2020/10/24, 65, , , , 
2020/10/25, 80, , , , 
2020/10/26, 72, , , , 
2020/10/27, 82, , , , 
2020/10/28, 102, , , , 
2020/10/29, 95, , , , 
2020/10/30, 99, , , , 
2020/10/31, 90, , , , 
2020/11/1, 81, , , , 
2020/11/2, 99, , , , 
2020/11/3, 98, , , , 
2020/11/4, 96, , , , 
2020/11/5, 39, , , , 
2020/11/6, 63, , , , 
2020/11/7, 60, , , , 
2020/11/8, 85, , , , 
2020/11/9, 41, , , , 
2020/11/10, 73, , , , 
2020/11/11, 137, , , , 
2020/11/12, 61, , , , 
2020/11/13, 13, , , , 
2020/11/14, 32, , , , 
2020/11/15, 77, , , , 
2020/11/16, 62, , , , 
2020/11/17, 90, , , , 
2020/11/18, 88, , , , 
2020/11/19, 72, , , , 
2020/11/20, 38, , , , 
2020/11/21, 50, , , , 
2020/11/22, 51, , , , 
2020/11/23, 64, , , , 
2020/11/24, 75, , , , 
2020/11/25, 27, , , , 
2020/11/26, 67, , , , 
2020/11/27, 58, , , , 
2020/11/28, 58, , , , 
2020/11/29, 48, , , , 
2020/11/30, 52, , , , 
2020/12/1, 90, , , , 
2020/12/2, 96, , , , 
2020/12/3, 115, , , , 
2020/12/4, 97, , , , 
2020/12/5, 73, , , , 
2020/12/6, 59, , , , 
2020/12/7, 48, , , , 
2020/12/8, 47, , , , 
2020/12/9, 52, , , , 
2020/12/10, 103, , , , 
2020/12/11, 95, , , , 
2020/12/12, 102, , , , 
2020/12/13, 83, , , , 
2020/12/14, 158, , , , 
2020/12/15, 169, , , , 
2020/12/16, 107, , , , 
2020/12/17, 70, , , , 
2020/12/18, 90, , , , 
2020/12/19, 45, , , , 
2020/12/20, 43, , , , 
2020/12/21, 47, , , , 
2020/12/22, 53, , , , 
2020/12/23, 72, , , , 
2020/12/24, 88, , , , 
2020/12/25, 41, , , , 
2020/12/26, 25, , , , 
2020/12/27, 45, , , , 
2020/12/28, 77, , , , 
2020/12/29, 88, , , , 
2020/12/30, 119, , , , 
2020/12/31, 106, , , , 
2021/1/1, 120, , , , 
2021/1/2, 134, , , , 
2021/1/3, 156, , , , 
2021/1/4, 159, , , , 
2020/8/12, 61, , , 4, 
2020/8/13, 52, , , 6, 
2020/8/16, 54, , , 9, 
2020/8/17, 28, , , 10, 
2020/8/18, 38, , , 13, 
2020/8/19, 32, , , , 
2020/8/20, 49, , , 8, 
2020/8/21, 65, , , 9, 
2020/8/22, 69, , , 10, 
2020/8/23, 84, , , , 
2020/8/24, 45, , , 13, 
2020/8/25, 32, , , 19, 
2020/8/26, 25, , , , 
2020/9/1, 42, , , 2, 
2020/9/2, 45, , , 4, 
2020/9/3, 63, , , 4, 
2020/9/4, 78, , , 6, 
2020/9/5, 60, , , 7, 
2020/9/6, 61, , , 9, 
2020/9/7, 87, , , 8, 
2020/9/8, 105, , , 8, 
2020/9/9, 95, , , 9, 
2020/9/10, 96, , , 10, 
2020/9/11, 66, , , 16, 
2020/9/12, 79, , , 11, 
2020/9/13, 89, , , 9, 
2020/9/14, 70, , , 11, 
2020/9/15, 65, , , 10, 
2020/9/16, 76, , , 10, 
2020/9/17, 64, , , 10, 
2020/9/18, 59, , , 11, 
2020/9/19, 68, , , 11, 
2020/9/20, 100, , , 11, 
2020/9/21, 70, , , 12, 
2020/9/22, 59, , , 12, 
2020/9/23, 64, , , 14, 
2020/9/24, 57, , , 15, 
2020/9/25, 65, , , 13, 
2020/9/26, 75, , , 15, 
2020/9/27, 90, , , 15, 
2020/9/28, 82, , , 14, 
2020/9/29, 65, , , 18, 
2020/9/30, 70, , , 13, 
2020/10/1, 57, , , 18, 
2020/6/15, 54, , , 12, 
2020/6/16, 81, , , , 
2020/6/17, 75, , , 12, 
2020/6/18, 80, , , 14, 
2020/6/19, 78, , , 14, 
