date, pm25, pm10, no2
2021/2/11, 18, 5, 16
2021/2/12, 17, 6, 17
2021/2/13, 17, 5, 9
2021/2/14, 12, 4, 9
2021/2/15, 9, 12, 22
2021/2/16, 20, 8, 21
2021/2/17, 17, 5, 9
2021/2/18, 12, 6, 8
2021/2/19, 17, 26, 7
2021/2/20, 65, 17, 7
2021/2/21, 46, 14, 9
2021/2/22, 39, 21, 12
2021/2/23, 51, 21, 10
2021/2/24, 55, 16, 9
2021/2/25, 46, 11, 6
2021/2/26, 25, 24, 7
2021/2/27, 21, 48, 6
2021/2/28, 22, 54, 8
2021/3/1, 31, 54, 14
2021/3/2, 37, 72, 16
2021/3/3, 39, 16, 13
2021/3/4, 20, 41, 10
2021/3/5, 25, 35, 14
2021/3/6, 23, 33, 7
2021/3/7, 21, 21, 2
2021/3/8, 13, 34, 10
2021/3/9, 22, 22, 10
2021/3/10, 20, 9, 10
2021/3/11, 27, 15, 2
2021/3/12, 43, 17, 7
2021/3/13, 40, 12, 7
2021/3/14, 21, 34, 9
2021/3/15, 33, 71, 18
2021/3/16, 43, 37, 14
2021/3/17, 39, 51, 16
2021/3/18, 37, 32, 13
2021/3/19, 28, 29, 7
2021/3/20, 19, 29, 6
2021/3/21, 20, 17, 3
2021/3/22, 12, 33, 10
2021/3/23, 17, 50, 16
2021/3/24, 28, 28, 9
2021/3/25, 33, 32, 10
2021/3/26, 35, 30, 11
2021/3/27, 43, 41, 6
2021/3/28, 81, 16, 6
2021/3/29, 46, 7, 7
2021/3/30, 16, 11, 8
2021/3/31, 14, 6, 12
2021/4/1, 15, 18, 11
2020/10/2, 46, 62, 14
2020/10/3, 99, 56, 10
2020/10/4, 94, 45, 5
2020/10/5, 85, 14, 8
2020/10/6, 32, 12, 10
2020/10/7, 31, 9, 4
2020/10/8, 22, 9, 6
2020/10/9, 17, 7, 10
2020/10/10, 14, 8, 7
2020/10/11, 18, 4, 8
2020/10/12, 10, 5, 13
2020/10/13, 7, 5, 12
2020/10/14, 9, 4, 9
2020/10/15, 7, 7, 10
2020/10/16, 9, 5, 15
2020/10/17, 12, 6, 12
2020/10/18, 13, 3, 5
2020/10/19, 5, 5, 8
2020/10/20, 6, 8, 16
2020/10/21, 17, 18, 14
2020/10/22, 50, 6, 10
2020/10/23, 19, 5, 13
2020/10/24, 10, 6, 11
2020/10/25, 17, 7, 4
2020/10/26, 21, 10, 10
2020/10/27, 28, 12, 10
2020/10/28, 30, 8, 7
2020/10/29, 20, 12, 15
2020/10/30, 32, 17, 20
2020/10/31, 42, 12, 9
2020/11/1, 31, 8, 3
2020/11/2, 24, 8, 3
2020/11/3, 24, 6, 9
2020/11/4, 11, 9, 13
2020/11/5, 19, 7, 8
2020/11/6, 11, 10, 15
2020/11/7, 12, 6, 9
2020/11/8, 15, 9, 11
2020/11/9, 17, 8, 13
2020/11/10, 19, 12, 14
2020/11/11, 29, 18, 16
2020/11/12, 40, 28, 10
2020/11/13, 62, 12, 6
2020/11/14, 37, 12, 7
2020/11/15, 37, 16, 4
2020/11/16, 48, 25, 5
2020/11/17, 61, 6, 7
2020/11/18, 15, 4, 7
2020/11/19, 8, 7, 6
2020/11/20, 13, 8, 8
2020/11/21, 9, 2, 3
2020/11/22, 7, 7, 3
2020/11/23, 14, 7, 9
2020/11/24, 7, 5, 10
2020/11/25, 11, 8, 11
2020/11/26, 20, 11, 10
2020/11/27, 31, 5, 9
2020/11/28, 13, 7, 7
2020/11/29, 17, 9, 6
2020/11/30, 26, 12, 10
2020/12/1, 32, 10, 11
2020/12/2, 26, 12, 11
2020/12/3, 36, 16, 5
