date, pm25, pm10, o3, no2, so2
2021/12/27, 42, 48, , 4, 3
2021/12/28, 23, 50, , 8, 3
2021/12/29, 24, , , , 
2021/12/30, 57, , , , 
2021/12/31, 59, , , , 
2022/1/1, 47, , , , 
2022/1/2, 27, 83, , 10, 2
2022/1/3, 117, 187, , 10, 4
2021/7/2, 89, 76, 5, 12, 3
2021/7/14, 107, 125, 16, 8, 3
2021/7/15, 106, 98, 22, 6, 4
2021/7/16, 102, 118, , 4, 5
2021/7/19, 93, 77, 17, 5, 5
2021/7/20, 55, 59, 15, 3, 5
2021/7/21, 65, 74, 12, 5, 4
2021/7/22, 99, 103, 13, 3, 3
2021/7/23, 81, 104, 11, 7, 5
2021/7/24, 125, 197, 17, 5, 3
2021/7/25, 182, 259, 19, 7, 4
2021/7/26, 158, 153, 14, 9, 5
2021/7/27, 150, 102, 16, 11, 5
2021/7/28, 154, 100, 18, 8, 3
2021/7/29, 153, 84, 25, 11, 2
2021/7/30, 155, 78, 24, 2, 3
2021/7/31, 97, 73, 23, 3, 4
2021/8/1, 107, 74, 18, 7, 4
2021/8/2, 104, 69, , 17, 5
2021/8/3, 89, 60, , 15, 4
2021/8/4, 85, 59, 24, 9, 4
2021/8/5, 112, 66, 26, 4, 5
2021/8/6, 133, 62, 26, 5, 5
2021/8/7, 120, 64, 24, 7, 4
2021/8/8, 120, , 9, , 
2021/8/9, 113, , , , 
2021/8/10, 90, 66, , 7, 4
2021/8/11, 98, 69, , 13, 4
2021/8/12, 91, 70, , 7, 4
2021/8/13, 97, 78, , 5, 2
2021/8/14, 121, 80, , 5, 2
2021/8/15, 91, 56, , 4, 4
2021/8/16, 103, 68, , 4, 4
2021/8/17, 78, 67, , 4, 5
2021/8/18, 104, 108, , 5, 4
2021/8/19, 143, 167, , 5, 4
2021/8/20, 122, 144, , 5, 3
2021/8/21, 104, 98, , 5, 2
2021/8/22, 72, 67, , 6, 3
2021/8/23, 74, 95, , 6, 4
2021/8/24, 123, 124, , 6, 4
2021/8/25, 98, 106, , 5, 4
2021/8/26, 95, 90, , 5, 3
2021/8/27, 125, 69, , 7, 3
2021/8/28, 129, 76, , 10, 4
2021/8/29, 99, 85, , 11, 5
2021/8/30, 99, 99, , 10, 4
2021/8/31, 99, 100, , 7, 5
2021/9/1, 92, 93, , 9, 4
2021/9/2, 76, 79, , 7, 5
2021/9/3, 68, 109, , 8, 3
2021/9/4, 116, 433, , 11, 5
2021/9/5, 102, 133, , 11, 5
2021/9/6, 151, 148, , 7, 4
2021/9/7, 156, 105, , 5, 3
2021/9/8, 156, 79, , 6, 4
2021/9/9, 138, 66, , 4, 5
2021/9/10, 122, 69, , 1, 5
2021/9/12, 138, 76, , 4, 5
2021/9/13, 109, 73, , 4, 4
2021/9/14, 100, 61, , 3, 4
2021/9/15, 55, 50, , 5, 5
2021/9/16, 72, 65, , 5, 3
2021/9/17, 97, 63, , 3, 4
2021/9/18, 67, 53, , 7, 5
2021/9/19, 67, 59, , 8, 3
2021/9/20, 72, 71, , 5, 4
2021/9/21, 91, 79, , 4, 5
2021/9/22, 88, 53, , 3, 5
2021/9/23, 59, 48, , 5, 5
2021/9/24, 85, 52, , 7, 3
2021/9/25, 72, 51, , 5, 2
2021/9/26, 64, 48, , 5, 2
2021/9/27, 55, 96, , 3, 2
2021/9/28, 124, 151, , 8, 2
2021/9/29, 145, 91, , 7, 2
2021/9/30, 87, 77, , 10, 3
2021/10/1, 91, 57, , 5, 2
2021/4/28, 57, 74, 16, 22, 4
2021/4/29, 75, 62, 11, 17, 3
2021/4/30, 92, 94, 19, 10, 3
2021/5/1, 60, 50, 34, 6, 4
2021/5/2, 84, 47, 32, 7, 4
2021/5/3, 78, 53, 25, 12, 4
2021/5/4, 75, 50, 21, 12, 5
2021/5/5, 93, 71, 18, 12, 4
2021/5/6, 86, 105, 22, 7, 4
2021/5/7, 82, 78, 18, 7, 4
2021/5/8, 84, 84, , 8, 4
2021/5/9, 84, 75, , 11, 4
2021/5/10, 84, 69, 21, 12, 5
2021/5/11, 90, 56, 34, 10, 5
2021/5/12, 105, 58, 32, 11, 6
2021/5/13, 111, 57, 31, 15, 5
2021/5/14, 122, 57, 29, 9, 5
2021/5/15, 134, 66, 29, 6, 4
2021/5/16, 114, 73, 24, 8, 3
2021/5/17, 117, 68, 24, 12, 5
2021/5/18, 134, 63, 25, 12, 4
2021/5/19, 111, 89, 33, 12, 4
2021/5/20, 92, 75, 26, 16, 4
2021/5/21, 115, 66, 29, 15, 4
2021/5/22, 106, 75, 31, 9, 3
2021/5/23, 104, 66, 25, 14, 4
2021/5/24, 105, 65, 23, 12, 4
2021/5/25, 130, 83, 17, 12, 4
2021/5/26, 108, 113, 12, 16, 5
2021/5/27, 103, 116, 20, 15, 5
2021/5/28, 61, 78, 34, 5, 5
2021/5/29, 74, 59, 29, 6, 4
